ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-01-01 00:09:00,1.6772462892159496,-86.80487495193262,84.6281892718013,1.6772462892159496,1.6772462892159496,0.0,0.0,0.0,0.0,0.0,0.0,1.6772462892159496
2025-01-01 00:09:05,1.6368992506570377,-88.01989846780938,99.31415754006899,1.6368992506570377,1.6368992506570377,0.0,0.0,0.0,0.0,0.0,0.0,1.6368992506570377
2025-01-01 00:09:10,1.5965522120981255,-88.61200505999545,92.8096034393777,1.5965522120981255,1.5965522120981255,0.0,0.0,0.0,0.0,0.0,0.0,1.5965522120981255
2025-01-01 00:09:15,1.5562051735392142,-92.71060052355365,91.06824400713634,1.5562051735392142,1.5562051735392142,0.0,0.0,0.0,0.0,0.0,0.0,1.5562051735392142
2025-01-01 00:09:20,1.5158581349803029,-87.04403110641314,92.82792073035452,1.5158581349803029,1.5158581349803029,0.0,0.0,0.0,0.0,0.0,0.0,1.5158581349803029
2025-01-01 00:09:25,1.4755110964213904,-90.78573434975935,87.42578322759928,1.4755110964213904,1.4755110964213904,0.0,0.0,0.0,0.0,0.0,0.0,1.4755110964213904
2025-01-01 00:09:30,1.4351640578625084,-91.45590642408791,99.00084418430495,1.4351640578625084,1.4351640578625084,0.0,0.0,0.0,0.0,0.0,0.0,1.4351640578625084
2025-01-01 00:09:35,1.3948581967962186,-86.09082613073414,94.16053456431058,1.3948581967962186,1.3948581967962186,0.0,0.0,0.0,0.0,0.0,0.0,1.3948581967962186
2025-01-01 00:09:40,1.3545523357299287,-84.49991473455952,90.56578406409601,1.3545523357299287,1.3545523357299287,0.0,0.0,0.0,0.0,0.0,0.0,1.3545523357299287
2025-01-01 00:09:45,1.3142464746636398,-88.43549399607626,95.39948204536195,1.3142464746636398,1.3142464746636398,0.0,0.0,0.0,0.0,0.0,0.0,1.3142464746636398
2025-01-01 00:09:50,1.2739406135973497,-87.8613592016706,93.18451028634767,1.2739406135973497,1.2739406135973497,0.0,0.0,0.0,0.0,0.0,0.0,1.2739406135973497
2025-01-01 00:09:55,1.2336347525310598,-91.1593514472975,85.3387946757183,1.2336347525310598,1.2336347525310598,0.0,0.0,0.0,0.0,0.0,0.0,1.2336347525310598
2025-01-01 00:10:00,1.19332889146477,-91.4853814190449,89.5113861351381,1.19332889146477,1.19332889146477,0.0,0.0,0.0,0.0,0.0,0.0,1.19332889146477
2025-01-01 00:10:05,1.153023030398481,-84.91629226874821,93.03727678023634,1.153023030398481,1.153023030398481,0.0,0.0,0.0,0.0,0.0,0.0,1.153023030398481
2025-01-01 00:10:10,1.1127171693321685,-92.1252378547127,89.69038400734065,1.1127171693321685,1.1127171693321685,0.0,0.0,0.0,0.0,0.0,0.0,1.1127171693321685
2025-01-01 00:10:15,1.0724113138194433,-89.38767659321464,97.85965492872427,1.0724113138194433,1.0724113138194433,0.0,0.0,0.0,0.0,0.0,0.0,1.0724113138194433
2025-01-01 00:10:20,1.0321054583067193,-89.96206725154514,91.28985782386025,1.0321054583067193,1.0321054583067193,0.0,0.0,0.0,0.0,0.0,0.0,1.0321054583067193
2025-01-01 00:10:25,0.9917996027939951,-86.362240622476,90.73062915541234,0.9917996027939951,0.9917996027939951,0.0,0.0,0.0,0.0,0.0,0.0,0.9917996027939951
2025-01-01 00:10:30,0.951493747281271,-93.92861408381336,92.38374755251057,0.951493747281271,0.951493747281271,0.0,0.0,0.0,0.0,0.0,0.0,0.951493747281271
2025-01-01 00:10:35,0.9111878917685469,-95.91320784967576,96.03300957279076,0.9111878917685469,0.9111878917685469,0.0,0.0,0.0,0.0,0.0,0.0,0.9111878917685469
2025-01-01 00:10:40,0.8708820362558217,-88.02558394084652,89.46375694530603,0.8708820362558217,0.8708820362558217,0.0,0.0,0.0,0.0,0.0,0.0,0.8708820362558217
2025-01-01 00:10:45,0.8305761807430996,-94.02692664147473,95.25574887047293,0.8305761807430996,0.8305761807430996,0.0,0.0,0.0,0.0,0.0,0.0,0.8305761807430996
2025-01-01 00:10:50,0.7902958062205852,-89.05254449431239,94.62784784544758,0.7902958062205852,0.7902958062205852,0.0,0.0,0.0,0.0,0.0,0.0,0.7902958062205852
2025-01-01 00:10:55,0.7500154316980708,-89.45423431871852,89.3348169096166,0.7500154316980708,0.7500154316980708,0.0,0.0,0.0,0.0,0.0,0.0,0.7500154316980708
2025-01-01 00:11:00,0.7097350571755565,-94.34315157699939,85.73640886518693,0.7097350571755565,0.7097350571755565,0.0,0.0,0.0,0.0,0.0,0.0,0.7097350571755565
2025-01-01 00:11:05,0.6694546826530421,-92.33686489176898,83.60931290433624,0.6694546826530421,0.6694546826530421,0.0,0.0,0.0,0.0,0.0,0.0,0.6694546826530421
2025-01-01 00:11:10,0.6291743081305288,-89.07083806250733,89.4475424910701,0.6291743081305288,0.6291743081305288,0.0,0.0,0.0,0.0,0.0,0.0,0.6291743081305288
2025-01-01 00:11:15,0.5888939336080145,-93.17667818547535,94.61642049302343,0.5888939336080145,0.5888939336080145,0.0,0.0,0.0,0.0,0.0,0.0,0.5888939336080145
2025-01-01 00:11:20,0.5486135590855,-88.29038474564634,90.83415729652275,0.5486135590855,0.5486135590855,0.0,0.0,0.0,0.0,0.0,0.0,0.5486135590855
2025-01-01 00:11:25,0.5083331845629906,-90.78043168866422,87.64343072423134,0.5083331845629906,0.5083331845629906,0.0,0.0,0.0,0.0,0.0,0.0,0.5083331845629906
2025-01-01 00:11:30,0.46805280667921595,-95.65574437019835,87.56414582699152,0.46805280667921595,0.46805280667921595,0.0,0.0,0.0,0.0,0.0,0.0,0.46805280667921595
2025-01-01 00:11:35,0.4277724287954413,-88.37757320316827,85.02473618338556,0.4277724287954413,0.4277724287954413,0.0,0.0,0.0,0.0,0.0,0.0,0.4277724287954413
2025-01-01 00:11:40,0.3874920509116676,-86.57562459619535,85.1940631516539,0.3874920509116676,0.3874920509116676,0.0,0.0,0.0,0.0,0.0,0.0,0.3874920509116676
2025-01-01 00:11:45,0.3472116730278939,-93.8783226273446,89.03707476700781,0.3472116730278939,0.3472116730278939,0.0,0.0,0.0,0.0,0.0,0.0,0.3472116730278939
2025-01-01 00:11:50,0.3069312951441192,-87.18706216540133,92.04249732375894,0.3069312951441192,0.3069312951441192,0.0,0.0,0.0,0.0,0.0,0.0,0.3069312951441192
2025-01-01 00:11:55,0.26665091726034557,-92.73374827989933,95.12142182610813,0.26665091726034557,0.26665091726034557,0.0,0.0,0.0,0.0,0.0,0.0,0.26665091726034557
2025-01-01 00:12:00,0.22637053937656598,-89.73055279283543,93.89029546338806,0.22637053937656598,0.22637053937656598,0.0,0.0,0.0,0.0,0.0,0.0,0.22637053937656598
2025-01-01 00:12:05,0.1860903417733641,-89.40757926875612,87.7939007808555,0.1860903417733641,0.1860903417733641,0.0,0.0,0.0,0.0,0.0,0.0,0.1860903417733641
